
---------------> PROGRAM SIG_BCZ <---------------


  Reading the parameters from file: sig_bcz_input
  Input parameters are:

    XINIT = 2.0000E-08
    AMP0 = 0.050    TAU0 =   2700.00    PHI0 = 0.500
    IPRINT = 4    ERRORS = n

  
  name of input file (l,n,v) -->   
   Reading frequencies from File: /home/joao/Documents/FCUP/TESE/bcz_fit/mesa_bestA.freq                          
       Range in frequencies: 1494.6894 - 2787.6930
       Reference frequency : 2100.0000
       Points read:  36
  
   Smoothing parameter = 0.20D-07

   File RES   [Model,C1,C2,...] (all final values)
   File COF   [C1,C2,...] (each iteration)
   File SIG   [v, v-smooth, l, n, sigma, fit] 
 125 ->      0.20     0.00002445     0.00041078    
 126 ->      0.20     0.00002310     0.00041077    
 127 ->      0.20     0.00002187     0.00041076    
 128 ->      0.20     0.00002064     0.00041076    
 129 ->      0.20     0.00001952     0.00041075    
 130 ->      0.20     0.00001843     0.00041075    
 131 ->      0.20     0.00001739     0.00041074    
 132 ->      0.20     0.00001645     0.00041074    
 133 ->      0.20     0.00001557     0.00041074    
 134 ->      0.20     0.00001468     0.00041073    
 135 ->      0.20     0.00001390     0.00041073    
 136 ->      0.20     0.00001313     0.00041073    
 137 ->      0.20     0.00001241     0.00041072    
 138 ->      0.20     0.00001167     0.00041072    
 139 ->      0.20     0.00001107     0.00041072    
 140 ->      0.20     0.00001043     0.00041071    
 141 ->      0.20     0.00000989     0.00041071    
 142 ->      0.20     0.00000933     0.00041071    
 143 ->      0.20     0.00000879     0.00041071    
 144 ->      0.20     0.00000829     0.00041070    
 145 ->      0.20     0.00000787     0.00041070    
 146 ->      0.20     0.00000740     0.00041070    
 147 ->      0.20     0.00000699     0.00041070    
 148 ->      0.20     0.00000664     0.00041070    
 149 ->      0.20     0.00000630     0.00041070    
 150 ->      0.20     0.00000591     0.00041069    
 151 ->      0.20     0.00000562     0.00041069    
 152 ->      0.20     0.00000532     0.00041069    
 153 ->      0.20     0.00000496     0.00041069    
 154 ->      0.20     0.00000473     0.00041069    
 155 ->      0.20     0.00000446     0.00041069    
 156 ->      0.20     0.00000420     0.00041069    
 157 ->      0.20     0.00000399     0.00041069    
 158 ->      0.20     0.00000375     0.00041068    
 159 ->      0.20     0.00000355     0.00041068    
 160 ->      0.20     0.00000339     0.00041068    
 161 ->      0.20     0.00000319     0.00041068    
 162 ->      0.20     0.00000300     0.00041068    
 163 ->      0.20     0.00000280     0.00041068    
 164 ->      0.20     0.00000269     0.00041068    
 165 ->      0.20     0.00000251     0.00041068    
 166 ->      0.20     0.00000239     0.00041068    
 167 ->      0.20     0.00000225     0.00041068    
 168 ->      0.20     0.00000216     0.00041068    
 169 ->      0.20     0.00000200     0.00041068    
 170 ->      0.20     0.00000193     0.00041068    
 171 ->      0.20     0.00000181     0.00041068    
 172 ->      0.20     0.00000168     0.00041068    
 173 ->      0.20     0.00000160     0.00041067    
 174 ->      0.20     0.00000152     0.00041067    
 175 ->      0.20     0.00000141     0.00041067    
 176 ->      0.20     0.00000132     0.00041067    
 177 ->      0.20     0.00000130     0.00041067    
 178 ->      0.20     0.00000121     0.00041067    
 179 ->      0.20     0.00000115     0.00041067    
 180 ->      0.20     0.00000107     0.00041067    
 181 ->      0.20     0.00000103     0.00041067    
 182 ->      0.20     0.00000098     0.00041067    
 183 ->      0.20     0.00000093     0.00041067    
 184 ->      0.20     0.00000082     0.00041067    
 185 ->      0.20     0.00000082     0.00041067    
 186 ->      0.20     0.00000076     0.00041067    
 187 ->      0.20     0.00000072     0.00041067    
 188 ->      0.20     0.00000073     0.00041067    
 189 ->      0.20     0.00000066     0.00041067    
 190 ->      0.20     0.00000063     0.00041067    
 191 ->      0.20     0.00000058     0.00041067    
 192 ->      0.20     0.00000054     0.00041067    
 193 ->      0.20     0.00000053     0.00041067    
 194 ->      0.20     0.00000049     0.00041067    
 195 ->      0.20     0.00000046     0.00041067    
 196 ->      0.20     0.00000041     0.00041067    
 197 ->      0.20     0.00000039     0.00041067    
 198 ->      0.20     0.00000040     0.00041067    
 199 ->      0.20     0.00000034     0.00041067    
 200 ->      0.20     0.00000035     0.00041067    
 201 ->      0.20     0.00000034     0.00041067    
 202 ->      0.20     0.00000031     0.00041067    
 203 ->      0.20     0.00000031     0.00041067    
 204 ->      0.20     0.00000026     0.00041067    
 205 ->      0.20     0.00000028     0.00041067    
 206 ->      0.20     0.00000023     0.00041067    
 207 ->      0.20     0.00000024     0.00041067    
 208 ->      0.20     0.00000021     0.00041067    
 209 ->      0.20     0.00000022     0.00041067    
 210 ->      0.20     0.00000022     0.00041067    
 211 ->      0.20     0.00000018     0.00041067    
 212 ->      0.20     0.00000015     0.00041067    
 213 ->      0.20     0.00000017     0.00041067    
 214 ->      0.20     0.00000018     0.00041067    
 215 ->      0.20     0.00000019     0.00041067    
 216 ->      0.20     0.00000016     0.00041067    
 217 ->      0.20     0.00000013     0.00041067    
 218 ->      0.20     0.00000010     0.00041067    
 219 ->      0.10     0.00334028     0.00024624    
 220 ->      0.10     0.00167470     0.00022856    
 221 ->      0.10     0.00084157     0.00022073    
 222 ->      0.10     0.00042441     0.00021706    
 223 ->      0.10     0.00021344     0.00021528    
 224 ->      0.10     0.00010512     0.00021438    
 225 ->      0.10     0.00004840     0.00021392    
 226 ->      0.10     0.00001800     0.00021367    
 227 ->      0.10     0.00000185     0.00021354    
 228 ->      0.10     0.00000897     0.00021346    
 229 ->      0.10     0.00001399     0.00021341    
 230 ->      0.10     0.00001682     0.00021338    
 231 ->      0.10     0.00001838     0.00021336    
 232 ->      0.10     0.00001918     0.00021335    
 233 ->      0.10     0.00001942     0.00021334    
 234 ->      0.10     0.00001935     0.00021333    
 235 ->      0.10     0.00001914     0.00021332    
 236 ->      0.10     0.00001876     0.00021332    
 237 ->      0.10     0.00001832     0.00021331    
 238 ->      0.10     0.00001783     0.00021331    
 239 ->      0.10     0.00001731     0.00021330    
 240 ->      0.10     0.00001682     0.00021330    
 241 ->      0.10     0.00001628     0.00021330    
 242 ->      0.10     0.00001578     0.00021329    
 243 ->      0.10     0.00001531     0.00021329    
 244 ->      0.10     0.00001479     0.00021329    
 245 ->      0.10     0.00001427     0.00021328    
 246 ->      0.10     0.00001382     0.00021328    
 247 ->      0.10     0.00001336     0.00021328    
 248 ->      0.10     0.00001295     0.00021328    
 249 ->      0.10     0.00001250     0.00021327    
 250 ->      0.10     0.00001208     0.00021327    
 251 ->      0.10     0.00001165     0.00021327    
 252 ->      0.10     0.00001128     0.00021327    
 253 ->      0.10     0.00001098     0.00021326    
 254 ->      0.10     0.00001056     0.00021326    
 255 ->      0.10     0.00001028     0.00021326    
 256 ->      0.10     0.00000990     0.00021326    
 257 ->      0.10     0.00000959     0.00021326    
 258 ->      0.10     0.00000930     0.00021325    
 259 ->      0.10     0.00000895     0.00021325    
 260 ->      0.10     0.00000865     0.00021325    
 261 ->      0.10     0.00000837     0.00021325    
 262 ->      0.10     0.00000808     0.00021325    
 263 ->      0.10     0.00000783     0.00021325    
 264 ->      0.10     0.00000761     0.00021324    
 265 ->      0.10     0.00000734     0.00021324    
 266 ->      0.10     0.00000707     0.00021324    
 267 ->      0.10     0.00000685     0.00021324    
 268 ->      0.10     0.00000666     0.00021324    
 269 ->      0.10     0.00000644     0.00021324    
 270 ->      0.10     0.00000621     0.00021324    
 271 ->      0.10     0.00000597     0.00021324    
 272 ->      0.10     0.00000577     0.00021323    
 273 ->      0.10     0.00000558     0.00021323    
 274 ->      0.10     0.00000540     0.00021323    
 275 ->      0.10     0.00000528     0.00021323    
 276 ->      0.10     0.00000504     0.00021323    
 277 ->      0.10     0.00000488     0.00021323    
 278 ->      0.10     0.00000475     0.00021323    
 279 ->      0.10     0.00000455     0.00021323    
 280 ->      0.10     0.00000447     0.00021323    
 281 ->      0.10     0.00000432     0.00021323    
 282 ->      0.10     0.00000412     0.00021322    
 283 ->      0.10     0.00000399     0.00021322    
 284 ->      0.10     0.00000387     0.00021322    
 285 ->      0.10     0.00000378     0.00021322    
 286 ->      0.10     0.00000361     0.00021322    
 287 ->      0.10     0.00000351     0.00021322    
 288 ->      0.10     0.00000339     0.00021322    
 289 ->      0.10     0.00000327     0.00021322    
 290 ->      0.10     0.00000317     0.00021322    
 291 ->      0.10     0.00000308     0.00021322    
 292 ->      0.10     0.00000298     0.00021322    
 293 ->      0.10     0.00000287     0.00021322    
 294 ->      0.10     0.00000277     0.00021322    
 295 ->      0.10     0.00000268     0.00021322    
 296 ->      0.10     0.00000260     0.00021322    
 297 ->      0.10     0.00000249     0.00021321    
 298 ->      0.10     0.00000242     0.00021321    
 299 ->      0.10     0.00000234     0.00021321    
 300 ->      0.10     0.00000227     0.00021321    
 301 ->      0.10     0.00000222     0.00021321    
 302 ->      0.10     0.00000215     0.00021321    
 303 ->      0.10     0.00000206     0.00021321    
 304 ->      0.10     0.00000201     0.00021321    
 305 ->      0.10     0.00000188     0.00021321    
 306 ->      0.10     0.00000184     0.00021321    
 307 ->      0.10     0.00000178     0.00021321    
 308 ->      0.10     0.00000177     0.00021321    
 309 ->      0.10     0.00000169     0.00021321    
 310 ->      0.10     0.00000165     0.00021321    
 311 ->      0.10     0.00000157     0.00021321    
 312 ->      0.10     0.00000152     0.00021321    
 313 ->      0.10     0.00000147     0.00021321    
 314 ->      0.10     0.00000144     0.00021321    
 315 ->      0.10     0.00000134     0.00021321    
 316 ->      0.10     0.00000135     0.00021321    
 317 ->      0.10     0.00000127     0.00021321    
 318 ->      0.10     0.00000124     0.00021321    
 319 ->      0.10     0.00000118     0.00021321    
 320 ->      0.10     0.00000117     0.00021321    
 321 ->      0.10     0.00000112     0.00021321    
 322 ->      0.10     0.00000109     0.00021321    
 323 ->      0.10     0.00000106     0.00021321    
 324 ->      0.10     0.00000101     0.00021321    
 325 ->      0.10     0.00000097     0.00021321    
 326 ->      0.10     0.00000094     0.00021321    
 327 ->      0.10     0.00000093     0.00021321    
 328 ->      0.10     0.00000089     0.00021321    
 329 ->      0.10     0.00000083     0.00021320    
 330 ->      0.10     0.00000083     0.00021320    
 331 ->      0.10     0.00000076     0.00021320    
 332 ->      0.10     0.00000076     0.00021320    
 333 ->      0.10     0.00000078     0.00021320    
 334 ->      0.10     0.00000073     0.00021320    
 335 ->      0.10     0.00000069     0.00021320    
 336 ->      0.10     0.00000069     0.00021320    
 337 ->      0.10     0.00000066     0.00021320    
 338 ->      0.10     0.00000062     0.00021320    
 339 ->      0.10     0.00000060     0.00021320    
 340 ->      0.10     0.00000061     0.00021320    
 341 ->      0.10     0.00000060     0.00021320    
 342 ->      0.10     0.00000053     0.00021320    
 343 ->      0.10     0.00000058     0.00021320    
 344 ->      0.10     0.00000051     0.00021320    
 345 ->      0.10     0.00000048     0.00021320    
 346 ->      0.10     0.00000048     0.00021320    
 347 ->      0.10     0.00000047     0.00021320    
 348 ->      0.10     0.00000048     0.00021320    
 349 ->      0.10     0.00000043     0.00021320    
 350 ->      0.10     0.00000047     0.00021320    
 351 ->      0.10     0.00000039     0.00021320    
 352 ->      0.10     0.00000040     0.00021320    
 353 ->      0.10     0.00000039     0.00021320    
 354 ->      0.10     0.00000042     0.00021320    
 355 ->      0.10     0.00000033     0.00021320    
 356 ->      0.10     0.00000034     0.00021320    
 357 ->      0.10     0.00000034     0.00021320    
 358 ->      0.10     0.00000032     0.00021320    
 359 ->      0.10     0.00000030     0.00021320    
 360 ->      0.10     0.00000031     0.00021320    
 361 ->      0.10     0.00000031     0.00021320    
 362 ->      0.10     0.00000026     0.00021320    
 363 ->      0.10     0.00000029     0.00021320    
 364 ->      0.10     0.00000026     0.00021320    
 365 ->      0.10     0.00000023     0.00021320    
 366 ->      0.10     0.00000023     0.00021320    
 367 ->      0.10     0.00000028     0.00021320    
 368 ->      0.10     0.00000023     0.00021320    
 369 ->      0.10     0.00000019     0.00021320    
 370 ->      0.10     0.00000022     0.00021320    
 371 ->      0.10     0.00000023     0.00021320    
 372 ->      0.10     0.00000020     0.00021320    
 373 ->      0.10     0.00000018     0.00021320    
 374 ->      0.10     0.00000018     0.00021320    
 375 ->      0.10     0.00000023     0.00021320    
 376 ->      0.10     0.00000018     0.00021320    
 377 ->      0.10     0.00000014     0.00021320    
 378 ->      0.10     0.00000016     0.00021320    
